country,china,netherlands,germany,turkey,usa,belarus,uk,jorea,italy,france,kazakhstan,japan,poland,vietnam,finland,india,belgium,ukraine,brazil,czech republic,spain,uzbekistan,switzerland,austria,slovakia,indonesia,sweden,taiwan,azerbaijan
jan 2006,640.3,124.4,799.6,107.3,283.0,455.5,150.1,265.1,253.6,217.6,207.5,357.5,172.0,15.9,167.4,44.2,80.7,447.0,118.8,62.6,77.8,61.1,60.6,62.7,30.0,17.3,90.5,38.1,11.0
feb 2006,675.4,179.9,"1,113.7",159.7,331.6,464.7,243.4,315.7,346.5,341.6,248.1,395.4,219.6,23.4,247.9,66.9,137.5,549.6,167.9,104.7,99.4,45.3,74.1,138.0,41.0,26.9,147.9,51.7,11.3
mar 2006,846.5,249.3,"1,346.0",200.2,479.2,515.4,311.3,399.1,438.7,392.1,314.4,585.7,274.6,26.2,299.7,86.4,164.6,705.0,275.7,111.7,132.2,71.5,103.3,136.6,59.1,32.0,136.5,56.4,15.2
apr 2006,734.5,204.7,"1,205.0",170.4,496.2,500.3,234.1,352.2,347.8,391.3,298.8,567.7,234.2,24.0,349.1,84.2,162.2,643.3,239.2,106.1,128.1,79.7,86.1,118.8,57.7,23.4,136.6,45.5,11.9
may 2006,747.2,230.0,"1,669.1",185.7,478.2,538.4,272.0,530.0,440.5,427.7,343.4,644.0,274.9,35.1,333.1,87.4,161.7,723.1,203.2,110.3,146.1,85.4,146.0,153.4,57.0,37.5,159.2,56.6,19.4
jun 2006,862.2,230.5,"1,541.4",191.1,573.1,582.6,332.4,"1,405.0",479.1,446.9,324.3,685.7,275.8,35.2,339.9,78.7,178.8,701.7,327.1,106.5,153.7,135.0,122.1,141.2,46.9,29.2,193.6,60.3,36.4
jul 2006,"1,027.2",210.2,"1,622.7",188.5,543.9,584.6,306.3,668.4,456.5,484.2,351.2,736.2,283.5,28.5,335.0,87.3,193.2,738.4,292.9,114.4,166.6,126.8,103.8,136.0,71.5,26.1,197.5,60.3,14.7
aug 2006,"1,265.3",251.1,"1,748.3",248.3,564.1,654.5,290.8,494.3,567.9,560.1,354.9,742.0,280.9,23.2,374.6,83.5,181.3,850.1,204.3,122.8,176.1,140.7,102.8,150.9,83.2,47.6,152.1,71.2,11.2
sep 2006,"1,374.9",227.9,"1,656.3",267.6,466.2,623.9,307.6,545.5,439.6,493.8,362.0,716.5,316.2,26.8,330.4,84.0,192.0,900.0,192.7,150.0,180.0,136.1,104.4,175.0,63.4,33.3,282.0,72.4,16.1
oct 2006,"1,506.0",257.4,"1,693.5",273.9,537.0,684.9,387.9,555.8,512.5,632.6,372.3,739.6,354.1,31.2,398.5,81.6,239.2,962.1,281.0,162.3,196.0,163.6,115.3,215.9,78.0,36.9,204.7,71.4,32.4
nov 2006,"1,555.7",249.3,"1,734.5",321.4,585.7,631.7,390.6,610.3,660.3,692.2,297.7,727.3,360.9,35.6,369.3,95.6,214.7,946.0,242.2,177.8,220.5,134.7,110.5,201.4,82.5,56.2,210.7,83.6,44.2
dec 2006,"1,679.0",270.2,"2,333.9",445.3,"1,071.8",608.6,447.8,639.8,782.6,782.4,365.9,889.5,362.5,44.8,457.8,93.3,272.5,"1,078.5",441.8,200.5,275.6,111.8,207.0,214.8,99.4,53.8,233.8,90.1,35.9
jan 2007,"1,065.2",170.3,"1,254.6",224.4,456.1,568.5,259.7,436.3,365.1,340.2,310.2,520.0,266.1,37.3,228.3,63.3,136.8,777.2,302.0,142.8,163.0,80.0,74.1,84.4,56.1,34.7,143.7,47.3,18.3
feb 2007,"1,378.9",241.3,"1,593.3",234.9,560.6,590.0,370.4,527.8,520.9,482.6,304.0,728.5,317.4,38.4,324.7,92.5,192.8,965.8,281.2,137.6,177.1,84.8,86.5,149.5,79.5,32.4,196.6,66.6,12.9
mar 2007,"1,530.0",296.4,"2,124.4",300.2,684.1,667.4,456.8,589.5,667.6,668.7,330.6,939.1,394.8,38.3,386.2,119.7,238.7,"1,103.1",363.8,176.0,255.9,99.1,124.5,215.9,89.2,49.9,232.1,86.7,13.8
apr 2007,"1,527.4",286.0,"2,106.7",352.4,658.7,635.0,424.5,591.7,636.9,545.7,370.6,"1,081.8",358.1,40.3,348.4,112.6,241.1,"1,155.0",346.6,165.0,215.3,104.3,106.5,184.5,84.0,41.0,249.1,80.2,12.8
may 2007,"1,647.9",342.4,"2,153.1",336.6,765.8,722.9,486.9,665.0,671.5,568.6,407.6,"1,008.0",348.3,43.8,378.3,114.1,287.4,"1,102.0",342.3,201.0,216.6,126.3,123.4,230.5,96.0,51.1,258.7,81.6,22.8
jun 2007,"1,670.1",324.6,"2,131.8",453.5,772.3,745.7,511.5,"1,341.0",706.0,644.1,427.1,"1,010.6",342.5,36.8,426.0,122.5,260.2,"1,107.7",412.3,175.8,218.3,142.7,144.3,214.1,98.0,79.9,228.1,90.8,38.7
jul 2007,"2,127.9",342.4,"2,407.1",360.6,"1,001.8",754.9,488.5,728.2,771.1,584.8,418.0,"1,132.3",372.9,40.1,461.9,96.5,292.4,"1,085.1",367.0,178.5,259.5,153.1,136.0,213.7,126.1,52.8,227.6,93.6,23.0
aug 2007,"2,513.8",344.0,"2,301.3",362.5,840.2,837.3,462.9,749.0,909.3,661.1,440.7,"1,301.4",387.3,48.3,473.5,106.3,256.6,"1,190.8",243.4,186.7,297.7,132.6,146.0,200.1,144.6,57.7,213.9,106.8,18.9
sep 2007,"2,412.2",348.8,"2,139.2",318.8,745.1,836.3,435.6,683.3,577.7,550.1,360.1,"1,153.7",392.1,50.9,429.6,103.1,276.5,"1,065.5",265.9,215.6,247.4,132.8,133.3,193.0,145.1,50.7,273.4,130.3,29.5
oct 2007,"2,813.9",341.2,"2,585.8",381.5,968.2,851.6,567.0,848.6,858.9,844.0,421.9,"1,222.5",475.0,47.0,493.1,125.7,327.7,"1,278.5",319.0,257.7,387.7,160.0,202.7,229.2,173.4,68.5,317.2,158.0,40.2
nov 2007,"2,864.7",400.2,"2,658.8",390.5,832.9,836.9,600.2,810.4,843.3,883.7,388.5,"1,367.2",469.9,48.5,510.9,129.6,335.4,"1,171.1",437.8,287.5,379.0,150.0,208.3,236.2,153.3,79.9,359.8,145.5,47.4
dec 2007,"2,871.8",419.9,"3,077.4",463.3,"1,185.8",832.0,580.7,867.0,"1,008.9",992.7,443.8,"1,251.8",506.8,53.1,565.4,124.0,341.8,"1,328.8",427.4,326.8,382.0,105.1,260.8,306.9,165.6,66.0,411.9,128.1,49.7
jan 2008,"2,091.7",275.2,"1,552.2",274.1,598.4,777.7,349.4,666.0,512.6,512.9,369.0,833.2,366.2,57.7,356.1,100.2,179.8,861.1,240.3,179.5,209.1,70.3,93.6,144.6,96.7,53.1,171.0,83.6,22.0
feb 2008,"2,604.2",383.5,"2,491.2",410.6,916.6,877.9,605.4,830.7,837.2,818.9,416.0,"1,108.1",526.1,65.9,538.7,144.6,304.4,"1,145.8",212.9,285.1,333.6,92.2,149.3,214.4,255.0,56.3,320.7,126.9,19.5
mar 2008,"2,669.2",403.0,"2,862.3",536.1,"1,032.7",926.1,618.9,998.3,910.5,718.3,492.9,"1,455.4",566.0,65.7,677.7,129.5,328.7,"1,341.0",223.5,277.9,344.2,94.8,216.1,260.5,261.2,61.9,379.4,128.4,22.2
apr 2008,"2,840.4",439.6,"3,152.8",603.4,"1,265.8",983.7,670.3,892.3,"1,016.9",950.4,597.6,"1,635.9",612.1,68.1,589.7,148.0,404.0,"1,463.9",359.3,310.2,362.6,138.9,164.8,288.9,261.9,62.6,399.0,144.7,24.8
may 2008,"2,522.7",394.8,"3,021.2",623.1,"1,088.8",961.8,690.2,"1,007.5",920.5,774.8,632.2,"1,659.4",595.1,50.8,567.1,127.9,318.7,"1,398.3",377.8,271.4,362.1,98.1,167.7,300.1,271.4,75.8,387.8,121.6,45.6
jun 2008,"2,632.4",411.5,"3,068.8",560.0,"1,116.6","1,045.8",701.1,827.6,896.1,887.5,655.6,"1,621.2",609.4,49.2,606.9,143.6,351.6,"1,651.6",574.4,299.6,405.7,116.9,201.3,310.1,284.2,58.7,464.1,129.3,57.5
jul 2008,"3,353.2",458.5,"3,331.1",522.9,"1,306.9","1,005.7",774.3,"1,193.9","1,147.3",874.6,691.4,"1,871.8",739.9,85.5,589.5,163.2,435.4,"1,846.9",620.8,346.7,437.2,126.9,258.6,319.3,310.2,76.9,710.6,190.7,23.3
